,ticker,indices
327,BIGC,['Russell 2000']
328,BIIB,"['S&P 500', 'Nasdaq 100']"
329,BIO,['S&P 500']
330,BIPC,['Russell 2000']
331,BIRD,['Russell 2000']
332,BJRI,['Russell 2000']
333,BK,['S&P 500']
334,BKD,['Russell 2000']
335,BKE,['Russell 2000']
336,BKH,['Russell 2000']
337,BKKT,['Russell 2000']
338,BKNG,"['S&P 500', 'Nasdaq 100']"
339,BKR,['S&P 500']
340,BKU,['Russell 2000']
341,BL,['Russell 2000']
342,BLBD,['Russell 2000']
343,BLDE,['Russell 2000']
344,BLFS,['Russell 2000']
345,BLFY,['Russell 2000']
346,BLI,['Russell 2000']
347,BLK,['S&P 500']
348,BLKB,['Russell 2000']
349,BLMN,['Russell 2000']
350,BLND,['Russell 2000']
351,BLNK,['Russell 2000']
352,BLUE,['Russell 2000']
353,BLX,['Russell 2000']
354,BMBL,['Russell 2000']
355,BMI,['Russell 2000']
356,BMRC,['Russell 2000']
357,BMY,['S&P 500']
358,BNFT,['Russell 2000']
359,BNGO,['Russell 2000']
360,BNL,['Russell 2000']
361,BOC,['Russell 2000']
362,BODY,['Russell 2000']
363,BOOM,['Russell 2000']
364,BOOT,['Russell 2000']
365,BORR,['Russell 2000']
366,BOWL,['Russell 2000']
367,BOX,['Russell 2000']
368,BOXD,['Russell 2000']
369,BPMC,['Russell 2000']
370,BR,['S&P 500']
371,BRBR,['Russell 2000']
372,BRBS,['Russell 2000']
373,BRC,['Russell 2000']
374,BRCC,['Russell 2000']
375,BRDS,['Russell 2000']
376,BRG,['Russell 2000']
377,BRK-B,['S&P 500']
378,BRKL,['Russell 2000']
379,BRMK,['Russell 2000']
380,BRO,['S&P 500']
381,BRP,['Russell 2000']
382,BRSP,['Russell 2000']
383,BRT,['Russell 2000']
384,BRY,['Russell 2000']
385,BSIG,['Russell 2000']
386,BSRR,['Russell 2000']
387,BSX,['S&P 500']
388,BTAI,['Russell 2000']
389,BTRS,['Russell 2000']
390,BTU,['Russell 2000']
391,BUSE,['Russell 2000']
392,BV,['Russell 2000']
393,BVH,['Russell 2000']
394,BVS,['Russell 2000']
395,BW,['Russell 2000']
396,BWA,['S&P 500']
397,BWB,['Russell 2000']
398,BWFG,['Russell 2000']
399,BXC,['Russell 2000']
400,BXMT,['Russell 2000']
401,BXP,['S&P 500']
402,BY,['Russell 2000']
403,BYND,['Russell 2000']
404,BZH,['Russell 2000']
405,C,['S&P 500']
406,CAC,['Russell 2000']
407,CADE,['Russell 2000']
408,CAG,['S&P 500']
409,CAH,['S&P 500']
410,CAKE,['Russell 2000']
411,CAL,['Russell 2000']
412,CALM,['Russell 2000']
413,CALX,['Russell 2000']
414,CANO,['Russell 2000']
415,CARA,['Russell 2000']
416,CARE,['Russell 2000']
417,CARG,['Russell 2000']
418,CARR,['S&P 500']
419,CARS,['Russell 2000']
420,CASA,['Russell 2000']
421,CASH,['Russell 2000']
422,CASS,['Russell 2000']
423,CAT,['S&P 500']
424,CATC,['Russell 2000']
425,CATO,['Russell 2000']
426,CATY,['Russell 2000']
427,CB,['S&P 500']
428,CBAN,['Russell 2000']
429,CBL,['Russell 2000']
430,CBNK,['Russell 2000']
431,CBOE,['S&P 500']
432,CBRE,['S&P 500']
433,CBRL,['Russell 2000']
434,CBT,['Russell 2000']
435,CBTX,['Russell 2000']
436,CBU,['Russell 2000']
437,CBZ,['Russell 2000']
438,CCB,['Russell 2000']
439,CCBG,['Russell 2000']
440,CCCC,['Russell 2000']
441,CCF,['Russell 2000']
442,CCI,['S&P 500']
443,CCL,['S&P 500']
444,CCMP,['Russell 2000']
445,CCNE,['Russell 2000']
446,CCO,['Russell 2000']
447,CCOI,['Russell 2000']
448,CCRN,['Russell 2000']
449,CCS,['Russell 2000']
450,CCSI,['Russell 2000']
451,CCXI,['Russell 2000']
452,CDAY,['S&P 500']
453,CDE,['Russell 2000']
454,CDEV,['Russell 2000']
455,CDLX,['Russell 2000']
456,CDMO,['Russell 2000']
